item_code;item_name;cbm
2T-C24HD1500I;LED TV 24  DIGITAL U;0.027
2T-C32GH3000I;LED-TV 43;0.058
2T-C32HD1500I;LED-TV 43;0.043
2T-C43GH3000I;LED-TV 43;0.093
2T-C43HD1500I;LED-TV 43;0.082
4T-C43HJ6000I;LED-TV 42;0.11
4T-C50HJ6000I;LED TV 50  ANDROID ;0.222
4T-C50HL6500I;LED TV 50  ANDROID ;0.123
4T-C55HJ6000I;LED TV 55 4K;0.144
4T-C55HL6500I;LED TV 55 4K;0.145
4T-C55HN7000I;LED TV 55 4K;0.145
4T-C65HL6500I;LED TV 65 4K;0.232
4T-C75HJ6000I;LED TV 75  ANDROID ;0.374
AH-A12ZCY;AC SPLIT STANDAR 0.;0.09
AH-A18ZCY;AC SPLIT STANDARD 2.;0.12
AH-A24ZCY;AC ;0.139
AH-A5BEY2;AC SPLIT STANDAR 0.;0.069
AH-A5ZCY;AC SPLIT STANDARD 0.;0.081
AH-A7BEY;AC SPLIT STANDAR 0.;0.07
AH-A9BBY2;AC SPLIT STANDARD 0.75;0.07
AH-A9BEY2;AC INDOOR;0.071
AH-A9BEYT;AC INDOOR;0.071
AH-A9ZCY;AC SPLIT STANDARD 1;0.09
AH-A9ZEY;AC SPLIT STANDAR 1;0.088
AH-AP7BMY;AC SPLIT 0 .75HP INDOOR;0.072
AH-AP9BMY2;AC SPLIT INV 1 .5 HP I;0.071
AH-X10BEY;AC SPLIT 0 .75 HP PCI;0.071
AH-X13BEY;AC SPLIT INV 1. OHP 1;0.071
AH-X18ZY;AC SPLIT 2 HP STANDART;0.11
AH-X6BEY;AC SPLIT INV 1.5 HP;0.071
AH-X8BEY;AC SPLIT INV 1.5 HP;0.075
AH-XP10BMY;AC SPLIT INV 1.5 HP;0.071
AH-XP13YHY;AC SPLIT INV 1.5 HP;0.089
AH-XP6BMY;AC SPLIT INV 1.5 HP;0.071
AH-XP6YHY;AC SPLIT INV 0.5 HP I;0.089
AH-XP8BMY;AC SPLIT INV 1.5 HP;0.071
AU-A12ZCY;AC SPLIT STANDAR 0.;0.179
AU-A18ZCY;AC SPLIT STANDARD 2.;0.183
AU-A24ZCY;AC ;0.47
AU-A5BEY2;AC SPLIT STANDAR 0.;0.143
AU-A5ZCY;AC SPLIT STANDARD 0.;0.135
